order_id,customer_id,order_timestamp,status,total_amount
1001,C001,2026-01-01T09:12:00,completed,54.90
1002,C002,2026-01-01T15:45:00,completed,23.50
1003,C003,2026-01-01T20:03:00,pending,89.99
1004,C001,2026-01-02T08:22:00,completed,15.75
1005,C004,2026-01-02T19:10:00,cancelled,42.00
1006,C005,2026-01-02T13:55:00,completed,120.40
1007,C002,2026-01-03T07:48:00,completed,9.99
1008,C006,2026-01-03T18:31:00,completed,64.20
1009,C003,2026-01-03T22:02:00,refunded,33.33
1010,C007,2026-01-04T09:27:00,completed,77.77
1011,C008,2026-01-04T16:18:00,pending,18.60
1012,C004,2026-01-04T14:44:00,completed,205.10
1013,C009,2026-01-05T08:05:00,completed,49.95
1014,C010,2026-01-05T11:59:00,completed,12.49
1015,C006,2026-01-05T21:20:00,cancelled,58.00
1016,C011,2026-01-06T09:41:00,completed,310.00
1017,C012,2026-01-06T13:33:00,completed,27.45
1018,C002,2026-01-06T17:12:00,completed,95.00
1019,C013,2026-01-07T10:26:00,pending,66.60
1020,C014,2026-01-07T22:08:00,completed,140.89
